"Gender","Height","Weight"
"Male",69.1798576188774,192.014335412005
"Male",66.4712752615182,172.773722928412
"Male",66.202347706273,159.390323744187
"Male",66.3162319187446,170.593858104457
"Male",73.8153856882339,231.374508117238
"Male",71.4189459863648,198.042483889936
"Male",72.001732217799,196.214414481383
"Male",67.2663627155588,192.4707695606
"Male",63.6725831540933,161.013145838894
"Male",71.0800835585909,209.853553640725
"Male",67.4629906554446,182.301285584692
"Male",73.8999386863723,215.559703251912
"Male",70.9241944325351,199.778372639881
"Male",65.2208204814207,158.987186084825
"Male",70.9761245175843,202.603188030477
"Male",65.7260320477284,169.675260295768
"Male",66.2997258732792,150.149361277111
"Male",67.2721706595338,187.363365848207
"Male",69.3718433314283,173.430169608834
"Male",72.2316362418495,202.137160078903
"Male",71.0641053823961,200.684159640694
"Male",69.3813459840736,197.281444316140
"Male",65.4350594576355,167.727961678569
"Male",68.3708428620063,195.122627832118
"Male",67.9192792827025,196.447702297553
"Male",69.7022575108606,177.149091287160
"Male",73.9644933728154,215.043888912532
"Male",70.2522527350803,190.916365269166
"Male",64.8035422213359,185.259530616791
"Male",66.6611031108434,184.470442822833
"Male",64.6383741461495,172.501320855784
"Male",69.7252073294272,182.481686860063
"Male",67.4730988142564,178.365728160163
"Male",70.2252520013285,191.709066845333
"Male",70.686247451505,194.943655052901
"Male",72.1735564385227,198.685021659980
"Male",68.7865740167745,175.838797375723
"Male",72.4395007512294,230.234109872155
"Male",70.7152956036217,209.161474219645
"Male",69.667115169749,192.558899475879
"Male",68.5910212089941,178.929042696548
"Male",75.2090219800456,227.581431836074
"Male",70.7645983316512,188.792456922384
"Male",68.7001244073467,186.812060623585
"Male",74.8803080235834,236.360677960665
"Male",71.3532087785568,209.309880125881
"Male",66.0442680742162,170.79874387414
"Male",74.5209720871559,216.533191277225
"Male",74.2422931391381,232.23264687361
"Male",68.7205292483486,195.670171492147
"Male",72.4488466681926,213.359530360382
"Male",65.5514242829528,175.898626877746
"Male",69.5692353755488,182.866563183096
"Male",72.1002995643528,206.224026920736
"Male",71.6178240738735,201.679351976306
"Male",70.8095594700837,181.5636902091
"Male",68.3141883278045,174.243488335751
"Male",71.5906840125055,201.611493751708
"Male",65.5403025125114,145.913544882471
"Male",65.7388827173833,166.622732409779
"Male",70.192414255252,198.141175293546
"Male",70.8398723802529,201.390763412069
"Male",72.8732032068169,219.026140872277
"Male",70.0048866781933,187.716780027983
"Male",68.0880489605233,177.372815267237
"Male",69.8160994668863,203.223323290572
"Male",65.9522583451574,185.927996877053
"Male",69.0898022775605,198.410626705823
"Male",67.9560489762333,166.552966199901
"Male",73.9125491549722,202.429959589620
"Male",73.9760052424978,214.203286663676
"Male",69.9711567294641,195.237215570304
"Male",66.4692190675672,185.692555335763
"Male",69.2378319798358,178.336603552245
"Male",66.3122611250763,168.374071280025
"Male",73.3628921811052,202.235567823986
